iter	Passed	Remaining
450	1097	1336
451	1100	1333
452	1102	1331
453	1104	1328
454	1106	1325
455	1107	1321
456	1109	1318
457	1112	1316
458	1114	1313
459	1116	1310
460	1118	1307
461	1120	1304
462	1122	1301
463	1124	1298
464	1126	1295
465	1128	1292
466	1129	1289
467	1131	1286
468	1133	1283
469	1135	1280
470	1136	1276
471	1138	1273
472	1140	1271
473	1142	1268
474	1144	1265
475	1146	1262
476	1148	1259
477	1150	1256
478	1152	1253
479	1155	1251
480	1157	1249
481	1159	1246
482	1162	1243
483	1164	1241
484	1165	1238
485	1168	1236
486	1170	1233
487	1172	1230
488	1174	1227
489	1177	1225
490	1179	1222
491	1181	1220
492	1184	1217
493	1186	1214
494	1188	1212
495	1189	1209
496	1191	1205
497	1193	1203
498	1196	1200
499	1198	1198
500	1200	1195
501	1202	1192
502	1203	1189
503	1205	1186
504	1208	1184
505	1210	1181
506	1212	1178
507	1214	1176
508	1216	1173
509	1218	1170
510	1220	1168
511	1223	1165
512	1225	1163
513	1227	1160
514	1229	1158
515	1231	1155
516	1235	1154
517	1238	1152
518	1240	1149
519	1242	1147
520	1244	1144
521	1249	1144
522	1252	1142
523	1255	1140
524	1256	1136
525	1258	1134
526	1262	1133
527	1265	1131
528	1267	1128
529	1270	1126
530	1272	1123
531	1276	1122
532	1280	1122
533	1283	1120
534	1286	1118
535	1288	1115
536	1290	1112
537	1293	1110
538	1295	1108
539	1298	1106
540	1300	1103
541	1303	1101
542	1306	1099
543	1309	1097
544	1311	1095
545	1313	1092
546	1316	1090
547	1319	1088
548	1322	1086
549	1325	1084
550	1327	1081
551	1331	1080
552	1333	1078
553	1336	1075
554	1339	1073
555	1341	1071
556	1345	1070
557	1348	1068
558	1351	1066
559	1353	1063
560	1355	1060
561	1360	1060
562	1362	1057
563	1366	1056
564	1368	1053
565	1371	1051
566	1371	1047
567	1374	1045
568	1377	1043
569	1377	1039
570	1379	1036
571	1384	1036
572	1386	1033
573	1388	1030
574	1391	1028
575	1393	1025
576	1394	1022
577	1397	1020
578	1400	1018
579	1402	1015
580	1405	1013
581	1408	1011
582	1410	1009
583	1414	1007
584	1415	1004
585	1418	1001
586	1422	1000
587	1424	998
588	1427	996
589	1430	994
590	1432	991
591	1435	989
592	1437	986
593	1441	985
594	1443	982
595	1447	981
596	1450	978
597	1454	978
598	1457	975
599	1461	974
600	1463	971
601	1467	970
602	1470	968
603	1476	967
604	1478	965
605	1481	963
606	1483	960
607	1485	957
608	1488	955
609	1490	952
610	1491	949
611	1495	947
612	1497	945
613	1499	942
614	1501	939
615	1503	937
616	1504	934
617	1506	931
618	1509	929
619	1511	926
620	1512	923
621	1514	920
622	1516	917
623	1518	914
624	1520	912
625	1522	909
626	1524	907
627	1526	904
628	1529	902
629	1531	899
630	1532	896
631	1534	893
632	1536	891
633	1538	888
634	1540	885
635	1542	882
636	1544	880
637	1546	877
638	1548	874
639	1550	872
640	1552	869
641	1554	866
642	1555	863
643	1557	861
644	1560	858
645	1562	856
646	1564	853
647	1566	850
648	1567	847
649	1569	845
650	1571	842
651	1573	840
652	1575	837
653	1576	834
654	1578	831
655	1580	828
