iter	Logloss
0	0.691265471
1	0.6896697364
2	0.6880304835
3	0.6863362239
4	0.6844965679
5	0.683044169
6	0.6815008816
7	0.6797886663
8	0.6779578803
9	0.6762631313
10	0.6744527309
11	0.6729684746
12	0.6712925445
13	0.6701939834
14	0.6680572648
15	0.6665573396
16	0.6653174874
17	0.6641844261
18	0.6629302173
19	0.6614850378
20	0.6601524057
21	0.6584684594
22	0.6572048741
23	0.6556431124
24	0.6547665638
25	0.6532374289
26	0.6517508709
27	0.650125155
28	0.6488522001
29	0.6474722048
30	0.645790822
31	0.644665238
32	0.6429875072
33	0.6417647552
34	0.6410468869
35	0.6394134296
36	0.6383354658
37	0.6370674115
38	0.6355472715
39	0.6346701856
40	0.6337715207
41	0.6327639656
42	0.6319962784
43	0.6307947317
44	0.6294807825
45	0.6281374117
46	0.6269313909
47	0.6252596721
48	0.6238853265
49	0.6224492523
50	0.6218062005
51	0.6203007514
52	0.6189090552
53	0.6183565568
54	0.6175725254
55	0.6166023194
56	0.615159408
57	0.6138332672
58	0.6122860501
59	0.6112526197
60	0.6099580221
61	0.6089121544
62	0.6076742248
63	0.6063563958
64	0.6055858514
65	0.6043292465
66	0.6033153764
67	0.602292466
68	0.6008710571
69	0.5997853577
70	0.5988309265
71	0.5977423724
72	0.596687852
73	0.5957973472
74	0.5946991276
75	0.5935982113
76	0.5923242348
77	0.5910262273
78	0.5902875685
79	0.5894271685
80	0.5881847999
81	0.5872225558
82	0.5862496316
83	0.5854106247
84	0.58456278
85	0.5837315264
86	0.5826403422
87	0.581649867
88	0.5806313609
89	0.5799994555
90	0.5791900639
91	0.5782134128
92	0.5777763573
93	0.5770375484
94	0.5762127186
95	0.575341966
96	0.574403883
97	0.5737562891
98	0.572937403
99	0.5718294604
100	0.5709985344
101	0.5699720869
102	0.5691258013
103	0.5685363286
104	0.5678715555
105	0.5669080195
106	0.5658490881
107	0.5650704163
108	0.5641594325
109	0.5634961665
110	0.5626414632
111	0.5618110764
112	0.5613320959
113	0.5610256356
114	0.5604537552
115	0.560072423
116	0.5594046767
117	0.5586861231
118	0.5582256333
119	0.5571733436
120	0.5564738886
121	0.5562097149
122	0.5555230705
123	0.5546044561
124	0.553804313
125	0.5535043476
126	0.5526436139
127	0.5515906897
128	0.5512402078
129	0.5506341305
130	0.5499405091
131	0.5491367977
132	0.5484521403
133	0.5474223887
134	0.5470674042
135	0.5463873884
136	0.5454866326
137	0.5447478402
138	0.544078349
139	0.5434419034
140	0.5427559705
141	0.5421208921
142	0.5413370446
143	0.5405699475
144	0.5400757192
145	0.5392486034
146	0.5385958183
147	0.5376997894
148	0.5366919467
149	0.5361796532
150	0.5354201953
151	0.5346592663
152	0.5339464916
153	0.5331830385
154	0.5324497855
155	0.5319853902
156	0.5314987565
157	0.5310571654
158	0.5305664494
159	0.5298275736
160	0.5289867438
161	0.5283394046
162	0.5278368288
163	0.5270618964
164	0.5263733545
165	0.5258951856
166	0.5254788467
167	0.5248427489
168	0.5242608983
169	0.5238204804
170	0.5231232752
171	0.5223133057
172	0.5216635871
173	0.5213450582
174	0.5209487524
175	0.5203061276
176	0.5193878889
177	0.5185889557
178	0.5178753753
179	0.5175320773
180	0.5170676877
181	0.5163435018
182	0.5156103289
183	0.5151388868
184	0.5147383105
185	0.5144201136
186	0.5138050002
187	0.513122208
188	0.5124366506
189	0.5119858038
190	0.5115928982
191	0.510877131
192	0.5104508169
193	0.5099528883
194	0.5095357727
195	0.5090624338
196	0.5085785686
197	0.5081892669
198	0.5076402938
199	0.5071946966
200	0.5066781341
201	0.5061229238
202	0.5057151267
203	0.5052422942
204	0.5045825797
205	0.5042615204
206	0.5037228801
207	0.5030075614
208	0.5024488159
209	0.5020840689
210	0.5015794304
211	0.5009607485
212	0.5005906452
213	0.5000695133
214	0.4996649299
215	0.4992738974
216	0.4985579009
217	0.4982627766
218	0.4979021175
219	0.4973887657
220	0.4969845199
221	0.4964560203
222	0.4959005915
223	0.4952624743
224	0.4947631421
225	0.4943360091
226	0.4940435064
227	0.493579161
228	0.4932619544
229	0.4930364052
230	0.4929927887
231	0.4926426353
232	0.4921678461
233	0.4918276169
234	0.4913524917
235	0.4909312329
236	0.4905824522
237	0.4902439364
238	0.4902037405
239	0.4896521657
240	0.4891760687
241	0.4888757791
242	0.4883802729
243	0.4880332828
244	0.487484961
245	0.4871223391
246	0.4866625881
247	0.4862877686
248	0.4857237212
249	0.4853757318
250	0.4850847441
251	0.4844110362
252	0.4841681753
253	0.4836864638
254	0.4828974507
255	0.4825797886
256	0.4822642165
257	0.4819413424
258	0.481518247
